time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
4.162690504828992499e-01,-1.334083891583663639e-02,6.195112755943624760e-01,3.902840135078932349e+00,-1.680547565650518038e+01,7.121755268458271892e-01,-7.376693185997734714e-01,-2.468853996840742582e+01,1.494600801453636407e+01,2.873267382408221104e-01
4.172696972388677539e-01,-1.271667576668841955e-02,6.234082003160400509e-01,3.885945876268104726e+00,-1.696120316408729778e+01,7.114064475624928274e-01,-7.623661334767550812e-01,-2.467295506557764639e+01,1.620365141686793820e+01,2.870443967540052266e-01
4.182703439948362578e-01,-1.208867162965899036e-02,6.272881418879401316e-01,3.868895789231999505e+00,-1.711693067166941873e+01,7.106130670832260243e-01,-7.870467237359256574e-01,-2.465611170595715862e+01,1.746129481919951232e+01,2.867620552671882872e-01
4.192709907508047618e-01,-1.145684761724908608e-02,6.311509443810545683e-01,3.851689873970617128e+00,-1.727265817925153968e+01,7.097954349027536525e-01,-8.117098301065797106e-01,-2.463800988954596249e+01,1.871893822153107934e+01,2.864797137803714033e-01
4.202716375067733212e-01,-1.082122484195940926e-02,6.349964518663752111e-01,3.834328130483956709e+00,-1.742838568683366773e+01,7.089536005158030285e-01,-8.363541933180133059e-01,-2.461864961634405802e+01,1.997658162386272451e+01,2.861973722935545195e-01
4.212722842627418252e-01,-1.018182441629075785e-02,6.388245084148936881e-01,3.816810558772020023e+00,-1.758411319441578868e+01,7.080876134171012470e-01,-8.609785540995191777e-01,-2.459803088635144519e+01,2.123422502619429153e+01,2.859150308067376356e-01
4.222729310187103291e-01,-9.538667452743839620e-03,6.426349580976022935e-01,3.799137158834806183e+00,-1.773984070199790608e+01,7.071975231013751806e-01,-8.855816531803930580e-01,-2.457615369956812756e+01,2.249186842852586565e+01,2.856326893199206962e-01
4.232735777746788330e-01,-8.891775063819379668e-03,6.464276449854926554e-01,3.781307930672315631e+00,-1.789556820958002703e+01,7.062833790633519238e-01,-9.101622312899299017e-01,-2.455301805599409448e+01,2.374951183085743267e+01,2.853503478331038123e-01
4.242742245306473370e-01,-8.241168362018116977e-03,6.502024131495567350e-01,3.763322874284547925e+00,-1.805129571716214798e+01,7.053452307977584601e-01,-9.347190291574244414e-01,-2.452862395562936015e+01,2.500715523318900679e+01,2.850680063462869285e-01
4.252748712866158409e-01,-7.586868459840787060e-03,6.539591066607863823e-01,3.745181989671502620e+00,-1.820702322474426893e+01,7.043831277993218842e-01,-9.592507875121718541e-01,-2.450297139847391392e+01,2.626479863552058092e+01,2.847856648594700446e-01
