time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_torque
5.263401936394350722e-01,7.399743734425029418e-02,9.277873509938664442e-01,2.627920916249561589e+00,3.922290007951425395e+01,4.917997291638429025e-01,-3.158992862942726187e+00,-2.290947304145350216e+01,-2.154756752703754614e+02,2.060473366607072920e-01,7.402233388230639033e-02,9.284530771171422003e-01,4.900345129314573889e-01,-3.161718560664142252e+00,1.819487342170482969e-01
5.273408403954036316e-01,7.494117958278172231e-02,9.304358912784020941e-01,2.665019330986386326e+00,3.826178608297840356e+01,4.885661603466993075e-01,-3.182022112579424800e+00,-2.311634127576498798e+01,-2.113760884821947741e+02,2.031578505766280518e-01,7.495290383192886041e-02,9.314800107123221151e-01,4.868580456487419661e-01,-3.187097439424316558e+00,1.785834500465361407e-01
5.283414871513721911e-01,7.588782758251569338e-02,9.331210888250867086e-01,2.701204076822475653e+00,3.730314102384373598e+01,4.853084133920173571e-01,-3.205256355078033526e+00,-2.331923702798684417e+01,-2.072812507721919530e+02,2.002683644925488116e-01,7.588652522747237061e-02,9.345524320061868728e-01,4.836560525307033731e-01,-3.212729917246737621e+00,1.753950813663324448e-01
5.293421339073406395e-01,7.683737863171181959e-02,9.358420297942801058e-01,2.736475178221003279e+00,3.634682229375763285e+01,4.820264544915159322e-01,-3.228691616190284996e+00,-2.351816032964121561e+01,-2.031909768148611306e+02,1.973788784084699321e-01,7.682324143642590975e-02,9.376651420203149234e-01,4.804282920115922062e-01,-3.238588887688709228e+00,1.724065087535740226e-01
5.303427806633091990e-01,7.778983001862999069e-02,9.385978003463417707e-01,2.770832657602194438e+00,3.539269915014686063e+01,4.787202498369124704e-01,-3.252323921667919837e+00,-2.371311121040702474e+01,-1.991050920938470767e+02,1.944893923243906364e-01,7.776314115535418181e-02,9.408130884284282569e-01,4.771741468832081945e-01,-3.264648390953221568e+00,1.695990067285996772e-01
5.313434274192776474e-01,7.874517903152965237e-02,9.413874866416316323e-01,2.804276535544147908e+00,3.444065152053550349e+01,4.753897656199262411e-01,-3.276149297262669347e+00,-2.390408969824444796e+01,-1.950234321333594494e+02,1.915999062403116737e-01,7.870612644956692661e-02,9.439908957829310499e-01,4.738944840408452763e-01,-3.290879775537811192e+00,1.669345037505116647e-01
5.323440741752462069e-01,7.970342295867069438e-02,9.442101748405091755e-01,2.836806830960704850e+00,3.349056901687546883e+01,4.720349680322747932e-01,-3.300163768726271929e+00,-2.409109581951388179e+01,-1.909458418893202065e+02,1.887104201562324890e-01,7.965231200756299479e-02,9.471936779290237585e-01,4.705884376499925303e-01,-3.317258331688483164e+00,1.644443388351018998e-01
5.333447209312146553e-01,8.066455908831259014e-02,9.470649511033342183e-01,2.868423561258642174e+00,3.254234998686721525e+01,4.686558232656771183e-01,-3.324363361810459772e+00,-2.427412959907996637e+01,-1.868721750372996553e+02,1.858209340721535541e-01,8.060173371653439611e-02,9.504170877094698655e-01,4.672557649514169076e-01,-3.343761740292674478e+00,1.621148787218854026e-01
5.343453676871832148e-01,8.162858470871524330e-02,9.499509015904659126e-01,2.899126742477647678e+00,3.159590075736405979e+01,4.652522975118509874e-01,-3.348744102266971279e+00,-2.445319106040945911e+01,-1.828022935014500376e+02,1.829314479880743138e-01,8.155439094519638388e-02,9.536565149013649378e-01,4.638965098817157129e-01,-3.370366217202842574e+00,1.599184747763492120e-01
5.353460144431516632e-01,8.259549710813811341e-02,9.528671124622648536e-01,2.928916389413364740e+00,3.065113486486320937e+01,4.618243569625152256e-01,-3.373302015847538193e+00,-2.462828022566381492e+01,-1.787360668662849719e+02,1.800419619039954067e-01,8.251029581190957862e-02,9.569078290439839707e-01,4.605105942769938676e-01,-3.397050612684647586e+00,1.578447249586754642e-01
5.363466611991202226e-01,8.356529357484121512e-02,9.558126698790904152e-01,2.957792515726674676e+00,2.970797246455199314e+01,4.583719678093872707e-01,-3.398033128303903805e+00,-2.479939711577232586e+01,-1.746733718619325941e+02,1.771524758199158334e-01,8.346945831446837827e-02,9.601671915762056697e-01,4.570979454323556568e-01,-3.423795345259124101e+00,1.558828962633285464e-01
5.373473079550886711e-01,8.453797139708364716e-02,9.587866600013010832e-01,2.985755134045341652e+00,2.876633974504844460e+01,4.548950962441872803e-01,-3.422933465387790974e+00,-2.496654175052172420e+01,-1.706140920825540377e+02,1.742629897358372038e-01,8.443188491154815511e-02,9.634310533001854138e-01,4.536585087422229101e-01,-3.450582367832278674e+00,1.540220310331025244e-01
5.383479547110572305e-01,8.551352786312566012e-02,9.617881689892584518e-01,3.012804256048688512e+00,2.782616840317036733e+01,4.513937084586315818e-01,-3.447999052850946988e+00,-2.512971414862088793e+01,-1.665581173316696777e+02,1.713735036517579635e-01,8.539757877609803483e-02,9.666961600381851483e-01,4.501922463879962644e-01,-3.477395188466071208e+00,1.522510379641533740e-01
5.393486014670256790e-01,8.649196026122663028e-02,9.648162830033210069e-01,3.038939892546467014e+00,2.688739521517347697e+01,4.478677706444400552e-01,-3.473225916445099593e+00,-2.528891432775954939e+01,-1.625053434567792863e+02,1.684840175676790286e-01,8.636653948670691694e-02,9.699594898385138775e-01,4.466991442862676132e-01,-3.504218551416983018e+00,1.505697077607810741e-01
5.403492482229942384e-01,8.747326587964643352e-02,9.678700882038486775e-01,3.064162053551784837e+00,2.594996161884806796e+01,4.443172489933297498e-01,-3.498610081921990744e+00,-2.544414230467755900e+01,-1.584556718713951966e+02,1.655945314835997884e-01,8.733876308194991889e-02,9.732183218284583548e-01,4.431792101939476258e-01,-3.531038793999717651e+00,1.489517399835635636e-01
5.413498949789627979e-01,8.845744200664457102e-02,9.709486707512016146e-01,3.088470748342161620e+00,2.501381333110989402e+01,4.407421096970196572e-01,-3.524147575033352187e+00,-2.559539809521491449e+01,-1.544090092774461596e+02,1.627050453995205481e-01,8.831424398406012566e-02,9.764703751331695880e-01,4.396324503418706509e-01,-3.557844526965707299e+00,1.473842379269706682e-01
5.423505417349312463e-01,8.944448593048075213e-02,9.740511168057384150e-01,3.111865985517020317e+00,2.407890004213401980e+01,4.371423189472286586e-01,-3.549834421530914774e+00,-2.574268171436833086e+01,-1.503652673766291343e+02,1.598155593154416410e-01,8.929297461319746221e-02,9.797136544228866040e-01,4.360588808309104891e-01,-3.584625843273236079e+00,1.458572325748536125e-01
5.433511884908998057e-01,9.043439493941475560e-02,9.771765125278193409e-01,3.134347773050588870e+00,2.314517510466691164e+01,4.335178429356740248e-01,-3.575666647166422241e+00,-2.588599317633502039e+01,-1.463243625376110799e+02,1.569260732313624007e-01,9.027494561844838505e-02,9.829464469739724874e-01,4.324585266360996272e-01,-3.611374297285419033e+00,1.443612291901046063e-01
5.443518352468682542e-01,9.142716632170611035e-02,9.803239440778042102e-01,3.155916118335937881e+00,2.221259525722545192e+01,4.298686478540750255e-01,-3.601640277691604108e+00,-2.602533249455498066e+01,-1.422862155852935189e+02,1.540365871472834658e-01,9.126014611783836439e-02,9.861673106294696067e-01,4.288314203731948826e-01,-3.638082839735949925e+00,1.428872405132107781e-01
5.453524820028368136e-01,9.242279736561469228e-02,9.834924976160528409e-01,3.176571028227481275e+00,2.128112040070309519e+01,4.261946998941492093e-01,-3.627751338858200114e+00,-2.616069968175748528e+01,-1.382507515535291986e+02,1.511471010632042256e-01,9.224856387877122810e-02,9.893750484451633298e-01,4.251776016882601317e-01,-3.664745687470361446e+00,1.414269263200778060e-01
5.463531287588052621e-01,9.342128535939991929e-02,9.866812593029240519e-01,3.196312509080122766e+00,2.035071336975018852e+01,4.224959652476156791e-01,-3.653995856417940669e+00,-2.629209474999803575e+01,-1.342178994557193619e+02,1.482576149791253184e-01,9.324018412801335365e-02,9.925686687163064459e-01,4.214971319017792317e-01,-3.691358151266876053e+00,1.399695661615297793e-01
5.473537755147738215e-01,9.442262759132190320e-02,9.898893152987788824e-01,3.215140566781242271e+00,1.942133972287446042e+01,4.187724101061915949e-01,-3.680369856122569505e+00,-2.641951771068643495e+01,-1.301875920170327845e+02,1.453681288950457451e-01,9.423499197939745609e-02,9.957474573709832466e-01,4.177900671608626437e-01,-3.717916953814623060e+00,1.385060692117817405e-01
5.483544222707422700e-01,9.542682134963965945e-02,9.931157517639753740e-01,3.233055206782949220e+00,1.849296759183496874e+01,4.150240006615972810e-01,-3.706869363723808153e+00,-2.654296857463281611e+01,-1.261597656705550463e+02,1.424786428109671432e-01,9.523297265776592413e-02,9.989109150073072207e-01,4.140564584053866848e-01,-3.744419901115537019e+00,1.370303323300885445e-01
5.493550690267108294e-01,9.643386392261352191e-02,9.963596548588744550e-01,3.250056434130251581e+00,1.756556748869487450e+01,4.112507031055490647e-01,-3.733490404973407006e+00,-2.666244735206910477e+01,-1.221343600815925754e+02,1.395891567268879030e-01,9.623411099839916660e-02,1.002058718557747863e+00,4.102963583407965853e-01,-3.770865699836198015e+00,1.355368638643182910e-01
5.503557157826792778e-01,9.744375259850275584e-02,9.996201107438351663e-01,3.266144253484999815e+00,1.663911218013812032e+01,4.074524836297665487e-01,-3.760229005623089815e+00,-2.677795405267590212e+01,-1.181113182931628813e+02,1.366996706428089681e-01,9.723839159504805985e-02,1.005190707201686129e+00,4.065098206777323364e-01,-3.797253884833468263e+00,1.340207665208875132e-01
