time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_torque
1.393369601166325467e+00,-7.601779912500115088e-01,3.383113889648682537e+00,3.450684963196339794e+01,-1.540480589676570844e+02,2.205505326869090510e+00,5.230938704319595622e+00,-3.329779987402395847e+01,-2.602216357403970619e+02,4.414021520593270353e-01,-7.643788806936639979e-01,3.370339398572678835e+00,2.201063472902996310e+00,5.236319099740130767e+00,4.398345440788632432e-01
1.394370585075209279e+00,-7.567966931354754845e-01,3.417575577954699462e+00,3.434684397070250128e+01,-1.571227783703879766e+02,2.210710805825403469e+00,5.197477820652617098e+00,-3.355814211831167171e+01,-2.621785568131118680e+02,4.390575176758496623e-01,-7.609878231768237855e-01,3.405023035588973013e+00,2.206287989942141703e+00,5.202428737521771041e+00,4.383756416234427244e-01
1.395371568984093091e+00,-7.533801149307881584e-01,3.451875546267878736e+00,3.418371107103708795e+01,-1.601960642114351572e+02,2.215883196239174069e+00,5.163755365371733852e+00,-3.382042171921147400e+01,-2.641353028372926701e+02,4.367128832923721782e-01,-7.575622014751529631e-01,3.439540247342446566e+00,2.211478433396029786e+00,5.168347090711653102e+00,4.369358445812477343e-01
1.396372552892976904e+00,-7.499283015988129630e-01,3.486010664510386992e+00,3.401745092724717523e+01,-1.632678817266429405e+02,2.221022308716655846e+00,5.129769399243405914e+00,-3.408463867665648905e+01,-2.660918742327046402e+02,4.343682489088948051e-01,-7.541020863933389773e-01,3.473888548536001597e+00,2.216634684635375052e+00,5.134075021181190301e+00,4.355131784929795469e-01
1.397373536801860716e+00,-7.464412981024131089e-01,3.519977802604388195e+00,3.384806353336551155e+01,-1.663381946345199367e+02,2.226127953864102782e+00,5.095517983034092424e+00,-3.435079299057307622e+01,-2.680482714536173603e+02,4.320236145254173765e-01,-7.506076052006568355e-01,3.508065188642347287e+00,2.221756591426423011e+00,5.099613594181213294e+00,4.341090407171260268e-01
1.398374520710744751e+00,-7.429191494044505850e-01,3.553773830472055195e+00,3.367554888317218342e+01,-1.694069650368798250e+02,2.231199942287768856e+00,5.060999177510244529e+00,-3.461888466088213789e+01,-2.700044950447550605e+02,4.296789801419393373e-01,-7.470790786086043411e-01,3.542066196267981582e+00,2.226843847897835182e+00,5.064964331084954807e+00,4.327211281001434595e-01
1.399375504619628563e+00,-7.393619004677894901e-01,3.587395618035545741e+00,3.349990697016107077e+01,-1.724741536033858438e+02,2.236238084593907605e+00,5.026211043438331139e+00,-3.488891368748417676e+01,-2.719605454142900385e+02,4.273343457584615201e-01,-7.435166207964200025e-01,3.575888957403326351e+00,2.231896313192879511e+00,5.030127772278946807e+00,4.313421016991407786e-01
1.400376488528512375e+00,-7.357695962552947000e-01,3.620840035217008701e+00,3.332113778756725253e+01,-1.755397188285355412e+02,2.241242191388769012e+00,4.991151641584825605e+00,-3.516088007029463824e+01,-2.739164234086481997e+02,4.249897113749845357e-01,-7.399203230457271907e-01,3.609531102808335667e+00,2.236913875729337864e+00,4.995104348957362106e+00,4.299703703870313976e-01
1.401377472437396188e+00,-7.321422817298264274e-01,3.654103951938641348e+00,3.313924132831231617e+01,-1.786036180366542965e+02,2.246212073278612387e+00,4.955819032716157757e+00,-3.543478380920759463e+01,-2.758721293272705566e+02,4.226450769915067185e-01,-7.362904666854759306e-01,3.642989039703139920e+00,2.241896268489626198e+00,4.959895084177369462e+00,4.286064040669902986e-01
1.402378456346280000e+00,-7.284800018542505473e-01,3.687184238122577007e+00,3.295421758500626908e+01,-1.816658059853976397e+02,2.251147540869686825e+00,4.920211277598816935e+00,-3.571062490411114254e+01,-2.778276641375405234e+02,4.203004426080297340e-01,-7.326272663343089686e-01,3.676259620229822112e+00,2.246843276661682154e+00,4.924500363379784140e+00,4.272442502255507368e-01
1.403379440255164035e+00,-7.247828015914274946e-01,3.720077763691011175e+00,3.276606654994636614e+01,-1.847262359681889450e+02,2.256048404768249416e+00,4.884326436999231191e+00,-3.598840335490169196e+01,-2.797830283293886851e+02,4.179558082245518613e-01,-7.289308209476956790e-01,3.709340570860924391e+00,2.251754792838197794e+00,4.888920267023005195e+00,4.258826563965492640e-01
1.404380424164047847e+00,-7.210507259042227002e-01,3.752781398566084725e+00,3.257478821506595779e+01,-1.877848588557251048e+02,2.260914475580551919e+00,4.848162571683884536e+00,-3.626811916144672665e+01,-2.817382227135161088e+02,4.156111738410743772e-01,-7.252013064753425331e-01,3.742229162123352992e+00,2.256630650233717450e+00,4.853155088771333503e+00,4.245167545432784184e-01
