time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,shoulder_torque,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,elbow_torque_tvlqr,K1,K2,K3,K4,k0
2.351570222671940935e-01,-9.039239943019347634e-02,-3.509645866096602340e+00,3.087175320887730834e+00,1.642409024195901281e+02,0.000000000000000000e+00,2.803916861771866831e+00,9.835737216399216276e-01,-9.193437986653620442e+00,3.858496665566951833e+01,2.368389873732106021e-01,2.391688117104086853e-01,2.869265583720043378e-05,2.400635529056703632e+00,1.039383327734678814e-01,4.645708006940458268e-01,3.310687059572825063e-03
2.361576904470544802e-01,-9.390395751918839684e-02,-3.506478153929613484e+00,3.240264972307599578e+00,1.635976894686000946e+02,0.000000000000000000e+00,2.804897703877028192e+00,9.743935995422630114e-01,-9.154406063321376408e+00,3.869707590959554011e+01,2.371551733993987887e-01,2.394582494870570455e-01,1.826933252705868153e-03,2.397866564411309742e+00,1.035883986609885121e-01,4.645152368221333594e-01,3.303461955696350774e-03
2.371583586269148947e-01,-9.741236185456424168e-02,-3.503157396052091421e+00,3.393238041100931301e+00,1.630023708649204082e+02,0.000000000000000000e+00,2.805869477497454856e+00,9.652525924246125877e-01,-9.115259417212453030e+00,3.880915590013597694e+01,2.374713594255870308e-01,2.397476872637054057e-01,3.610871256214165208e-03,2.395063559502407013e+00,1.032378570584890493e-01,4.644593662687580005e-01,3.294380037937413592e-03
2.381590268067752814e-01,-1.009174579764136048e-01,-3.499683700768856376e+00,3.546095614468035784e+00,1.624487892921108312e+02,0.000000000000000000e+00,2.806832220383716159e+00,9.561508150815454243e-01,-9.075998048248068883e+00,3.892120613991221489e+01,2.377875454517752729e-01,2.400371250403537660e-01,5.380514173863005026e-03,2.392227137307834095e+00,1.028867373701193438e-01,4.644031844620485350e-01,3.283536332091692347e-03
2.391596949866356958e-01,-1.044190914248298990e-01,-3.496057176384730347e+00,3.698838598719148330e+00,1.619317998723161054e+02,0.000000000000000000e+00,2.807785970286380994e+00,9.470883823076340358e-01,-9.036621956347211437e+00,3.903322615450780120e+01,2.381037314779634873e-01,2.403265628170021262e-01,7.135838225700264284e-03,2.389357894763183499e+00,1.025351054735773176e-01,4.643467179905015896e-01,3.270949048358455687e-03
2.401603631664960825e-01,-1.079171077399055656e-01,-3.492277931204534003e+00,3.851467755394399894e+00,1.614470702165907596e+02,0.000000000000000000e+00,2.808730764956016035e+00,9.380654088974540450e-01,-8.997131141427511025e+00,3.914521543129134074e+01,2.384199175041516738e-01,2.406160005936504864e-01,8.876855002912860393e-03,2.386456451440845061e+00,1.021830009754416124e-01,4.642899731482492687e-01,3.256596353009219135e-03
2.411610313463564970e-01,-1.114113524617341422e-01,-3.488346073533087566e+00,4.003983729057965846e+00,1.609909260755635216e+02,0.000000000000000000e+00,2.809666642143191062e+00,9.290820096455777444e-01,-8.957525603404896231e+00,3.925717347316291495e+01,2.387361035303399714e-01,2.409054383702988467e-01,1.060358631368553579e-02,2.383523442173788531e+00,1.018304481977506531e-01,4.642329430660476208e-01,3.240466849855401336e-03
2.421616995262168837e-01,-1.149016711304080007e-01,-3.484261711675212592e+00,4.156387068928440343e+00,1.605602309308832503e+02,0.000000000000000000e+00,2.810593639598474525e+00,9.201382993465802018e-01,-8.917805342192803408e+00,3.936909974988638083e+01,2.390522895565281303e-01,2.411948761469472069e-01,1.231604171766231826e-02,2.380559491200516131e+00,1.014774863629848006e-01,4.641756334726651612e-01,3.222536886154905768e-03
2.431623677060772981e-01,-1.183879092860207621e-01,-3.480024953935729748e+00,4.308678245879677071e+00,1.601522910371507749e+02,0.000000000000000000e+00,2.811511795072434872e+00,9.112343927950343758e-01,-8.877970357703036441e+00,3.948099373704248194e+01,2.393684755827164001e-01,2.414861310897184199e-01,1.401422616313363449e-02,2.377565203147876005e+00,1.011241817041411972e-01,4.641180747709156562e-01,3.202802040138692102e-03
2.441630358859376848e-01,-1.218699124686646040e-01,-3.475635908619461478e+00,4.460857665929919946e+00,1.597647799765786658e+02,0.000000000000000000e+00,2.812421146315640108e+00,9.023704047855153343e-01,-8.838020649845644172e+00,3.959285487974338480e+01,2.396846616089045867e-01,2.417788783999642310e-01,1.569817395643732447e-02,2.374541217474698485e+00,1.007705586668835446e-01,4.640602634534942150e-01,3.181337353912016240e-03
2.451637040657980993e-01,-1.253475262184332861e-01,-3.471094684031228006e+00,4.612925681036894154e+00,1.593956780596769249e+02,0.000000000000000000e+00,2.813321731078659127e+00,8.935464501125955916e-01,-8.797956218528186767e+00,3.970468263255411756e+01,2.400008476350928011e-01,2.420716257102100699e-01,1.736791875656546955e-02,2.371488175890081873e+00,1.004166395205512707e-01,4.640021941457559418e-01,3.158221563621016297e-03
2.461643722456584860e-01,-1.288205960754190138e-01,-3.466401388475849554e+00,4.764882597803171471e+00,1.590432233995398690e+02,0.000000000000000000e+00,2.814213587112060821e+00,8.847626435708505488e-01,-8.757777063656366323e+00,3.981647641268241244e+01,2.403170336612810432e-01,2.423643730204558810e-01,1.902347951140018895e-02,2.368406693822448172e+00,1.000624833685779813e-01,4.639438921732699228e-01,3.133509766997197559e-03
2.471650404255189004e-01,-1.322889675797153941e-01,-3.461556130258147235e+00,4.916728684554557915e+00,1.587058720264042790e+02,0.000000000000000000e+00,2.815096752166412752e+00,8.760190999548526092e-01,-8.717483185133778179e+00,3.992823564780302092e+01,2.406332196874692853e-01,2.426571203307016922e-01,2.066489482512178649e-02,2.365297402276403282e+00,9.970813308331473446e-02,4.638853711817266801e-01,3.107214235453830114e-03
2.481657086053792871e-01,-1.357524862714148683e-01,-3.456559017682943491e+00,5.068464177134572424e+00,1.583822652311283150e+02,0.000000000000000000e+00,2.815971263992283813e+00,8.673159340591768407e-01,-8.677074582861301622e+00,4.003995973335000969e+01,2.409494057136574718e-01,2.429498676409475311e-01,2.229220910651053336e-02,2.362160951334405290e+00,9.935360892423250601e-02,4.638266264223319668e-01,3.079344456432161082e-03
