time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,K1,K2,K3,K4,k0,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_torque
1.853961013174246331e+00,4.427375407596351176e-01,1.516107981598610044e+00,-1.697223113656231064e+01,2.747345658382854339e+01,2.232218828515628140e+00,-5.311344183423080345e+00,-1.839156245041611726e+01,8.468078686637677777e+01,1.794667224917173565e-01,-1.952646782675388382e+00,6.106399037746123248e+00,2.256868778020591382e+00,7.404774484767999709e-01,-2.312660777995356395e-02,4.468861050795843171e-01,1.509637901442245189e+00,2.240017559247097445e+00,-5.291854130103192944e+00,1.632434632092874538e-01
1.854961531799812713e+00,4.442739647734865738e-01,1.499141487097096714e+00,-1.694238099392828545e+01,2.898672544878222723e+01,2.226895591364485671e+00,-5.329702699967848289e+00,-1.830623830372063310e+01,8.468083762081684540e+01,1.809230181590903985e-01,-1.930391597580753071e+00,6.112252547070568198e+00,2.248452291337553088e+00,7.428564288931605031e-01,-2.318109210491900440e-02,4.483889173236655368e-01,1.492634675928613097e+00,2.234715813778905158e+00,-5.310451765739886199e+00,1.645922934381676139e-01
1.855962050425378873e+00,4.457938643695656955e-01,1.482205618440890715e+00,-1.691100839546743373e+01,3.049954467750945497e+01,2.221554029702670796e+00,-5.347975847148540574e+00,-1.822091128564122542e+01,8.468086182513999915e+01,1.823793138264631908e-01,-1.908945420833620732e+00,6.117856464652101423e+00,2.239861138259139128e+00,7.452332109325646714e-01,-2.324705886072559943e-02,4.498742336207142700e-01,1.475665573495515748e+00,2.229393550231810739e+00,-5.328958685673897300e+00,1.659485342309182654e-01
1.856962569050945033e+00,4.472972232676562521e-01,1.465301898800652980e+00,-1.687811334036866739e+01,3.201190946570303453e+01,2.216194228855455250e+00,-5.366163622096696173e+00,-1.813558139611184572e+01,8.468085924376899243e+01,1.838356094938362606e-01,-1.888315159700621138e+00,6.123201993091394790e+00,2.231098186528769123e+00,7.476065867091177264e-01,-2.332300699057394608e-02,4.513421298199607468e-01,1.458733518900791504e+00,2.224051771391149845e+00,-5.347377837263105782e+00,1.673047750236689168e-01
1.857963087676511416e+00,4.487840251875404030e-01,1.448431851347064203e+00,-1.684369582779198993e+01,3.678743458887985440e+01,2.210816274148117433e+00,-5.384266021943830083e+00,-1.805024863508129584e+01,8.589619719482590199e+01,1.852919051612087198e-01,-1.868505731856567209e+00,6.128283683102746515e+00,2.222167355481546647e+00,7.499757173460618320e-01,-2.340888375248764350e-02,4.527927077526225919e-01,1.441841624440332259e+00,2.218691628556340500e+00,-5.365712580031564372e+00,1.686610158164198459e-01
1.858963606302077576e+00,4.502542538490030832e-01,1.431596999250771107e+00,-1.680775585682351192e+01,3.503525423765788105e+01,2.205420250905925972e+00,-5.402283043821495490e+00,-1.796491300246790956e+01,8.468077183160616528e+01,1.867482008285824002e-01,-1.849519038601876497e+00,6.133100826960149021e+00,2.213074426887919444e+00,7.523402022075814655e-01,-2.350254786017965877e-02,4.542261242435371993e-01,1.424992569691984068e+00,2.213314166372466030e+00,-5.383966088864541533e+00,1.700258369041132978e-01
1.859964124927643736e+00,4.517078929718243430e-01,1.414798865682480145e+00,-1.677029342651817245e+01,3.985076856704028359e+01,2.200006244454162374e+00,-5.420214684861173637e+00,-1.787957449821683298e+01,8.590776509401094074e+01,1.882044964959541378e-01,-1.831359976579489901e+00,6.137646076599813760e+00,2.203822743891052482e+00,7.546989600468660964e-01,-2.360286965592865369e-02,4.556433022963264912e-01,1.408182003207155919e+00,2.207918439391015841e+00,-5.402137719073150990e+00,1.714126272902189163e-01
1.860964643553210118e+00,4.531449262757908936e-01,1.398038973812815833e+00,-1.673130853588161315e+01,3.805671447048541012e+01,2.194574340118091271e+00,-5.438060942194449687e+00,-1.779423312226764509e+01,8.468057212402634093e+01,1.896607921633279292e-01,-1.814032338833511560e+00,6.141913579748605301e+00,2.194416190071016626e+00,7.570510587650352008e-01,-2.370927853711726069e-02,4.570441776442251136e-01,1.391410994464966633e+00,2.202504236129787962e+00,-5.420227219902612248e+00,1.727994176763248679e-01
1.861965162178776279e+00,4.545653374806834512e-01,1.381318846812480627e+00,-1.669080118384312073e+01,3.956672243467826178e+01,2.189124623222996391e+00,-5.455821812952809324e+00,-1.770888887453014959e+01,8.468042919064376406e+01,1.911170878307007215e-01,-1.797536335476114688e+00,6.145903434764098172e+00,2.184860826899745589e+00,7.593961474624815189e-01,-2.381916438490250601e-02,4.584282758186088991e-01,1.374683524665412993e+00,2.197071981724740386e+00,-5.438235324702326068e+00,1.741862080624304865e-01
1.862965680804342661e+00,4.559691103062858408e-01,1.364640007852129022e+00,-1.664877136930523349e+01,4.107624009507393481e+01,2.183657179094145917e+00,-5.473497294267795965e+00,-1.762354175494936115e+01,8.468025700850873250e+01,1.925733834980737635e-01,-1.781874601360311061e+00,6.149610204524909918e+00,2.175160642415357781e+00,7.617333119008375952e-01,-2.393173710682352379e-02,4.597951223508546792e-01,1.358003575008477126e+00,2.191622101311824444e+00,-5.456162766821705645e+00,1.755729984485364104e-01
