time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
4.802489402717961819e-02,4.530365790122221070e-01,-1.556769187624751805e+00,-1.951586243347954053e+01,1.240739611599707359e+01,2.413075933121738181e+00,3.570085717588598939e+00,-2.047548205013032430e+01,1.035965629541908442e+02,7.130174500485195188e-02
4.902541265274585475e-02,4.514478764125851029e-01,-1.576288694031321880e+00,-1.950264706548174587e+01,1.400963932963520620e+01,2.416641108398226656e+00,3.549651425038109487e+00,-2.037196193720493298e+01,1.033363422014845696e+02,7.278719802578305365e-02
5.002593127831209824e-02,4.498405950868186731e-01,-1.595794176263279462e+00,-1.948782862330601162e+01,1.561188254327333880e+01,2.420185737235937218e+00,3.529320576043353253e+00,-2.026870217998937918e+01,1.030761214487783093e+02,7.427265104671418317e-02
5.102644990387834173e-02,4.482147787962426633e-01,-1.615284030415051975e+00,-1.947140710695234844e+01,1.721412575691148561e+01,2.423709918303637245e+00,3.509092910113594588e+00,-2.016570277848366999e+01,1.028159006960720347e+02,7.575810406764529881e-02
5.202696852944458522e-02,4.465704713021768635e-01,-1.634756652581065950e+00,-1.945338251642075278e+01,1.881636897054961821e+01,2.427213750270094117e+00,3.488968166758096068e+00,-2.006296373268780187e+01,1.025556799433657744e+02,7.724355708857642833e-02
5.302748715501082177e-02,4.449077163659410084e-01,-1.654210438855748144e+00,-1.943375485171122818e+01,2.041861218418775081e+01,2.430697331804075656e+00,3.468946085486120268e+00,-1.996048504260177481e+01,1.022954591906594999e+02,7.872901010950754397e-02
5.402800578057706526e-02,4.432265577488547215e-01,-1.673643785333525758e+00,-1.941252411282376400e+01,2.202085539782588341e+01,2.434160761574349685e+00,3.449026405806931539e+00,-1.985826670822559237e+01,1.020352384379532396e+02,8.021446313043865961e-02
5.502852440614330876e-02,4.415270392122378484e-01,-1.693055088108825101e+00,-1.938969029975837088e+01,2.362309861146403023e+01,2.437604138249683583e+00,3.429208867229791569e+00,-1.975630872955924389e+01,1.017750176852469650e+02,8.169991615136977525e-02
5.602904303170955225e-02,4.398092045174100129e-01,-1.712442743276073376e+00,-1.936525341251504884e+01,2.522534182510216283e+01,2.441027560498845617e+00,3.409493209263964264e+00,-1.965461110660274358e+01,1.015147969325407047e+02,8.318536917230090477e-02
5.702956165727579574e-02,4.380730974256911159e-01,-1.731805146929697115e+00,-1.933921345109379430e+01,2.682758503874030964e+01,2.444431126990603165e+00,3.389879171418711312e+00,-1.955317383935608078e+01,1.012545761798344301e+02,8.467082219323202041e-02
5.803008028284203229e-02,4.363187616984006700e-01,-1.751140695164123295e+00,-1.931157041549460729e+01,2.842982825237842803e+01,2.447814936393724050e+00,3.370366493203297509e+00,-1.945199692781926259e+01,1.009943554271281698e+02,8.615627521416313606e-02
5.903059890840827578e-02,4.345462410968585210e-01,-1.770447784073778452e+00,-1.928232430571748424e+01,3.003207146601657485e+01,2.451179087376976096e+00,3.350954914126984541e+00,-1.935108037199228548e+01,1.007341346744218953e+02,8.764172823509426558e-02
6.003111753397451927e-02,4.327555793823844588e-01,-1.789724809753090229e+00,-1.925147512176243225e+01,3.163431467965470745e+01,2.454523678609126236e+00,3.331644173699037204e+00,-1.925042417187514587e+01,1.004739139217156350e+02,8.912718125602538122e-02
6.103163615954076276e-02,4.309468203162981070e-01,-1.808970168296484715e+00,-1.921902286362944778e+01,3.323655789329285426e+01,2.457848808758943182e+00,3.312434011428715852e+00,-1.915002832746785444e+01,1.002136931690093604e+02,9.061263427695649686e-02
6.203215478510699932e-02,4.291200076599192559e-01,-1.828182255798388445e+00,-1.918496753131853438e+01,3.483880110693097265e+01,2.461154576495193869e+00,3.293324166825285726e+00,-1.904989283877040052e+01,9.995347241630310009e+01,9.209808729788761250e-02
6.303267341067324281e-02,4.272751851745676399e-01,-1.847359468353228840e+00,-1.914930912482968495e+01,3.644104432056911946e+01,2.464441080486646118e+00,3.274314379398008512e+00,-1.895001770578278411e+01,9.969325166359682555e+01,9.358354031881874202e-02
6.403319203623948630e-02,4.254123966215629382e-01,-1.866500202055432656e+00,-1.911204764416290658e+01,3.804328753420725207e+01,2.467708419402068643e+00,3.255404388656148562e+00,-1.885040292850501586e+01,9.943303091089055101e+01,9.506899333974985766e-02
6.503371066180572979e-02,4.235316857622249409e-01,-1.885602852999426871e+00,-1.907318308931819217e+01,3.964553074784539888e+01,2.470956691910227487e+00,3.236593934108968007e+00,-1.875104850693708869e+01,9.917281015818429069e+01,9.655444636068098718e-02
6.603422928737197328e-02,4.216330963578734381e-01,-1.904665817279637574e+00,-1.903271546029554884e+01,4.124777396148353148e+01,2.474185996679892252e+00,3.217882755265729422e+00,-1.865195444107899903e+01,9.891258940547803036e+01,9.803989938161210282e-02
6.703474791293821677e-02,4.197166721698279424e-01,-1.923687490990492410e+00,-1.899064475709496946e+01,4.285001717512166408e+01,2.477396432379828539e+00,3.199270591635697158e+00,-1.855312073093075398e+01,9.865236865277175582e+01,9.952535240254321847e-02
6.803526653850446027e-02,4.177824569594084103e-01,-1.942666270226417691e+00,-1.894697097971646116e+01,4.445226038875981089e+01,2.480588097678805948e+00,3.180757182728132904e+00,-1.845454737649234644e+01,9.839214790006548128e+01,1.010108054234743480e-01
6.903578516407068988e-02,4.158304944879345211e-01,-1.961600551081839949e+00,-1.890169412816002037e+01,4.605450360239792928e+01,2.483761091245590080e+00,3.162342268052301009e+00,-1.835623437776378708e+01,9.813192714735922095e+01,1.024962584444054498e-01
7.003630378963693337e-02,4.138608285167259537e-01,-1.980488729651186608e+00,-1.885481420242565065e+01,4.765674681603606189e+01,2.486915511748950536e+00,3.144025587117463605e+00,-1.825818173474506523e+01,9.787170639465296063e+01,1.039817114653365654e-01
7.103682241520317686e-02,4.118735028071024429e-01,-1.999329202028884200e+00,-1.880633120251334489e+01,4.925899002967420870e+01,2.490051457857654693e+00,3.125806879432883711e+00,-1.816038944743618089e+01,9.761148564194668609e+01,1.054671644862676949e-01
7.203734104076942035e-02,4.098685611203837231e-01,-2.018120364309360149e+00,-1.875624512842310310e+01,5.086123324331234130e+01,2.493169028240469931e+00,3.107685884507824348e+00,-1.806285751583714827e+01,9.735126488924041155e+01,1.069526175071988106e-01
7.303785966633566384e-02,4.078460472178895291e-01,-2.036860612587040098e+00,-1.870455598015493592e+01,5.246347645695048811e+01,2.496268321566163628e+00,3.089662341851549421e+00,-1.796558593994794606e+01,9.709104413653415122e+01,1.084380705281299401e-01
7.403837829190190734e-02,4.058060048609397064e-01,-2.055548342956352137e+00,-1.865126375770883982e+01,5.406571967058862072e+01,2.499349436503504052e+00,3.071735990973321062e+00,-1.786857471976859202e+01,9.683082338382789089e+01,1.099235235490610557e-01
7.503889691746815083e-02,4.037484778108538785e-01,-2.074181951511721689e+00,-1.859636846108480412e+01,5.566796288422675332e+01,2.502412471721258136e+00,3.053906571382402291e+00,-1.777182385529907904e+01,9.657060263112161635e+01,1.114089765699921852e-01
7.603941554303439432e-02,4.016735098289516692e-01,-2.092759834347576842e+00,-1.853987009028283950e+01,5.727020609786490013e+01,2.505457525888194592e+00,3.036173822588057014e+00,-1.767533334653940358e+01,9.631038187841534182e+01,1.128944295909233009e-01
7.703993416860063781e-02,3.995811446765530905e-01,-2.111280387558343907e+00,-1.848176864530294239e+01,5.887244931150303273e+01,2.508484697673079911e+00,3.018537484099547363e+00,-1.757910319348957273e+01,9.605016112570908149e+01,1.143798826118544304e-01
7.804045279416686742e-02,3.974714261149775996e-01,-2.129742007238449197e+00,-1.842206412614511635e+01,6.047469252514115112e+01,2.511494085744683247e+00,3.000997295426137246e+00,-1.748313339614958295e+01,9.578994037300282116e+01,1.158653356327855322e-01
7.904097141973311091e-02,3.953443979055451529e-01,-2.148143089482320356e+00,-1.836075653280935072e+01,6.207693573877929794e+01,2.514485788771771535e+00,2.983552996077087904e+00,-1.738742395451943423e+01,9.552971962029654662e+01,1.173507886537166478e-01
8.004149004529935441e-02,3.932001038095752632e-01,-2.166482030384383695e+00,-1.829784586529565615e+01,6.367917895241744475e+01,2.517459905423112598e+00,2.966204325561664579e+00,-1.729197486859913013e+01,9.526949886759027208e+01,1.188362416746477773e-01
8.104200867086559790e-02,3.910385875883877760e-01,-2.184757226039066413e+00,-1.823333212360403266e+01,6.528142216605557735e+01,2.520416534367473371e+00,2.948951023389128956e+00,-1.719678613838866355e+01,9.500927811488401176e+01,1.203216946955788930e-01
8.204252729643184139e-02,3.888598930033025369e-01,-2.202967072540794824e+00,-1.816721530773447668e+01,6.688366537969370995e+01,2.523355774273623009e+00,2.931792829068744055e+00,-1.710185776388803802e+01,9.474905736217775143e+01,1.218071477165100086e-01
