time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
2.672627036719891214e-01,-4.240373518547164988e-02,3.563197029420520412e+00,-6.587727636608374127e+00,-1.640265401218466650e+02,-1.257445069754906219e+00,5.139448419892860720e+00,3.758993492314206719e+01,-1.323299407265510581e+02,-6.619845614428929714e-01
2.682636875808729893e-01,-3.883084374400963545e-02,3.556520902183311073e+00,-6.751145742019849294e+00,-1.624884097412239043e+02,-1.252318954758911307e+00,5.177008040567184111e+00,3.745446548854081925e+01,-1.383426113473493615e+02,-6.648416030236322660e-01
2.692646714897568572e-01,-3.526429007269840654e-02,3.549681966631479835e+00,-6.913024203670559586e+00,-1.609502793606011437e+02,-1.247156979432500812e+00,5.214429046263185263e+00,3.731297746739873133e+01,-1.443552819681476649e+02,-6.676986446043715606e-01
2.702656553986407251e-01,-3.170426328432252722e-02,3.542681763923656746e+00,-7.073363021560501451e+00,-1.594121489799783831e+02,-1.241959180327019574e+00,5.251705412472580825e+00,3.716547085971580344e+01,-1.503679525889459683e+02,-6.705556861851108552e-01
2.712666393075245375e-01,-2.815095249166674890e-02,3.535521835218471409e+00,-7.232162195689665118e+00,-1.578740185993556793e+02,-1.236725593993812211e+00,5.288831114687090995e+00,3.701194566549204268e+01,-1.563806232097439306e+02,-6.734127277658500388e-01
2.722676232164084054e-01,-2.460454680751526790e-02,3.528203721674552540e+00,-7.389421726058065687e+00,-1.563358882187329186e+02,-1.231456256984223785e+00,5.325800128398435973e+00,3.685240188472743483e+01,-1.623932938305422340e+02,-6.762697693465893334e-01
2.732686071252922733e-01,-2.106523534465278361e-02,3.520728964450532850e+00,-7.545141612665700492e+00,-1.547977578381101580e+02,-1.226151205849598691e+00,5.362606429098330629e+00,3.668683951742199412e+01,-1.684059644513404805e+02,-6.791268109273286280e-01
2.742695910341761412e-01,-1.753320721586398845e-02,3.513099104705039721e+00,-7.699321855512566870e+00,-1.532596274574873974e+02,-1.220810477141281547e+00,5.399243992278496940e+00,3.651525856357572053e+01,-1.744186350721387839e+02,-6.819838525080679226e-01
2.752705749430599536e-01,-1.400865153393361304e-02,3.505315683596704979e+00,-7.851962454598655938e+00,-1.517214970768647220e+02,-1.215434107410617637e+00,5.435706793430647998e+00,3.633765902318860697e+01,-1.804313056929367463e+02,-6.848408940888071061e-01
2.762715588519438215e-01,-1.049175741164573572e-02,3.497380242284156893e+00,-8.003063409923985461e+00,-1.501833666962419613e+02,-1.210022133208951800e+00,5.471988808046508446e+00,3.615404089626065343e+01,-1.864439763137350496e+02,-6.876979356695464007e-01
2.772725427608276894e-01,-6.982713961785260576e-03,3.489294321926025955e+00,-8.152624721488541226e+00,-1.486452363156192007e+02,-1.204574591087628210e+00,5.508084011617793152e+00,3.596440418279185991e+01,-1.924566469345333530e+02,-6.905549772502856953e-01
