shoulder_des_pos,shoulder_des_vel,shoulder_des_acc,shoulder_des_jerk,shoulder_des_tau,elbow_des_pos,elbow_des_vel,elbow_des_acc,elbow_des_jerk,elbow_des_tau,elbow_des_tau_tvlqr,des_time,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_tau,meas_time,k1,k2,k3,k4,k0
-2.375373740074167017e-01,-1.434189251035604684e-01,-1.059031921390170883e+00,5.498743259761588575e+01,0.000000000000000000e+00,-1.419948166237418263e+00,7.531048239037772873e+00,1.111901199788111683e+01,-2.739163689673787871e+02,-3.113830806382302807e-01,-3.049909433907984635e-01,1.770716175389729641e-01,-2.562665810628272922e-01,-2.365564822487788987e-01,-1.476200813666362910e+00,6.467173120039072742e+00,-2.443121373653411865e-02,2.386998176574707031e+00,-1.427055470555871897e-01,-9.808066640031079531e-02,-1.568396791820450206e-02,9.109653929125283156e-01,3.389430838596598980e-03
-2.397813198782046129e-01,-1.392743111950949242e-01,-1.007701035887985208e+00,5.530774147715758460e+01,0.000000000000000000e+00,-1.295378155622017857e+00,8.056760357723760535e+00,1.085460319928154327e+01,-2.748966439874880621e+02,-3.078796332403184177e-01,-3.127033688867513206e-01,1.780720221578372120e-01,-2.622878830037109754e-01,-4.475686556908176073e-01,-1.365562449340111062e+00,7.234885563532441388e+00,3.328450322151184082e-01,2.402980804443359375e+00,-1.424625152753564716e-01,-9.792293004543954626e-02,-1.593637809452704002e-02,9.108919797510387495e-01,3.244500057651659476e-03
-2.420006147901290205e-01,-1.568468856462459371e-01,-9.562466972535442755e-01,5.564975328723502912e+01,0.000000000000000000e+00,-1.162469109197218131e+00,8.606982096243882552e+00,1.058948711909820339e+01,-2.758913551950720375e+02,-3.043740436300694796e-01,-3.234116318533253320e-01,1.790724267767014322e-01,-2.761174388832050575e-01,-7.530176698752857334e-01,-1.235893135864152947e+00,8.254908635084790447e+00,1.129118084907531738e+00,2.418973207473754883e+00,-1.422326008225509864e-01,-9.775016571430332479e-02,-1.619006612984777091e-02,9.108196227559159919e-01,3.099159799134976710e-03
-2.445479199784585944e-01,-1.921360987012121768e-01,-9.046682432899219028e-01,5.601718987575226549e+01,0.000000000000000000e+00,-1.021699926353903720e+00,9.168488828539921087e+00,1.032366355724554374e+01,-2.769016635895972627e+02,-3.032385023918209299e-01,-3.240064428798064000e-01,1.800728313955657078e-01,-2.850734689193406002e-01,-6.733231235316381458e-01,-1.085403291403793435e+00,9.434543606039131447e+00,8.323873281478881836e-01,2.434872388839721680e+00,-1.420150377772679551e-01,-9.756283050835015680e-02,-1.644453543696333328e-02,9.107477937528396517e-01,2.953471452430026217e-03
-2.482622458257992548e-01,-2.491883776956456131e-01,-8.529648483439609130e-01,5.641467637743679830e+01,0.000000000000000000e+00,-8.529592731988486776e-01,9.806452885339240311e+00,1.005713229139910680e+01,-2.779288581037736776e+02,-2.927054916934821449e-01,-3.279731177379687779e-01,1.810732360144300113e-01,-3.052621969854359962e-01,-9.182806972418848801e-01,-8.968035181176429171e-01,1.064699138478433937e+01,4.511999785900115967e-01,2.452712535858154297e+00,-1.418078930056611842e-01,-9.736232246762847875e-02,-1.669851677375472701e-02,9.106751016672453014e-01,2.807549185757425396e-03
-2.531691769959252269e-01,-2.934599617738058441e-01,-8.011354695550152449e-01,4.654668088322592467e+01,0.000000000000000000e+00,-6.717614021276858693e-01,1.037063276348999352e+01,9.789893073816688940e+00,-2.556383338762852020e+02,-2.561591943644714320e-01,-3.100593912301690125e-01,1.820736406332942314e-01,-3.106705588709325339e-01,-3.782479207413569355e-01,-7.172798290354015505e-01,1.102738116947714886e+01,6.817366182804107666e-02,2.470645189285278320e+00,-1.416113948982250514e-01,-9.714835504398397492e-02,-1.695210669832485084e-02,9.106016966404808510e-01,2.661462221005311997e-03
-2.576983336407465686e-01,-2.685406902483009617e-01,-7.491787703996986014e-01,4.627511026536623717e+01,0.000000000000000000e+00,-5.016421399554928939e-01,1.066416964852032834e+01,9.521945627597640183e+00,-2.559676810963827904e+02,-2.009810207411248939e-01,-2.751403192655459407e-01,1.830740452521584793e-01,-3.291234456222544846e-01,-9.494396487062992662e-01,-5.262353206819367912e-01,1.185691124108857331e+01,-2.145550996065139771e-01,2.486793041229248047e+00,-1.414285488023707127e-01,-9.691845681854546757e-02,-1.720718015909955198e-02,9.105297450850959873e-01,2.515296876410816080e-03
-2.612525164282715195e-01,-1.749361839229095494e-01,-6.970930094972033197e-01,5.785427882447542913e+01,0.000000000000000000e+00,-3.290785064364172285e-01,1.072858113653228429e+01,9.253289642267795045e+00,-2.811269709352044970e+02,-1.415775766611879760e-01,-2.089892446196586206e-01,1.840744498710227273e-01,-3.452444506227708709e-01,-6.774366088618606341e-01,-3.348711939865138265e-01,1.166640625692274114e+01,-4.630683958530426025e-01,2.502901554107666016e+00,-1.412575355838194269e-01,-9.667392134699270834e-02,-1.746260077764677857e-02,9.104579891937710778e-01,2.369306957296083826e-03
-2.628511013250545147e-01,-1.672000609460155829e-02,-6.448758747502191246e-01,5.844952832722463398e+01,0.000000000000000000e+00,-1.562329740118002519e-01,1.057247641446747366e+01,8.983924768525696436e+00,-2.822378647216663126e+02,-8.564968258884064767e-02,-8.430149335362102647e-02,1.850748544898869474e-01,-3.543173868467224263e-01,-2.705866043291624834e-01,-1.575845641210537884e-01,1.028427683379881685e+01,-1.498833894729614258e+00,2.519102811813354492e+00,-1.410963446855163506e-01,-9.641619352484370742e-02,-1.771711310982045096e-02,9.103850334207310713e-01,2.223753032583268736e-03
-2.614434530258904488e-01,2.048967795835778816e-01,-5.925242286719344387e-01,5.912760481457175388e+01,0.000000000000000000e+00,1.256720597211824497e-02,1.019239265168243946e+01,8.713850611979783167e+00,-2.833747696583035918e+02,-2.962795345762536670e-02,1.566112676607644971e-02,1.860752591087512509e-01,-3.551433525411801240e-01,5.309758150416037381e-01,1.092961311368519269e-02,8.340714187379029809e+00,-1.067238807678222656e+00,2.535331249237060547e+00,-1.409471102433779155e-01,-9.614357241171446466e-02,-1.797196835504839829e-02,9.103123426510301153e-01,2.079603249361168613e-03
-2.549245813744960287e-01,5.296609831784735434e-01,-5.400337039766310854e-01,5.991224280064052010e+01,0.000000000000000000e+00,1.937349242778054759e-01,9.491983588828588836e+00,8.443066725633427083e+00,-2.845402614832456720e+02,3.375586133766361741e-02,9.867038403734795793e-02,1.870756637276154710e-01,-3.412021905700187707e-01,7.896515312639271755e-01,1.355495770639679465e-01,7.072135295233359820e+00,-1.744347959756851196e-01,2.553692340850830078e+00,-1.408112292587388736e-01,-9.585489262876537020e-02,-1.822799491163694038e-02,9.102409170253742410e-01,1.937591011933606456e-03
-2.431873633661894019e-01,8.931133024670998566e-01,-4.873980355649062957e-01,6.083722358514708617e+01,0.000000000000000000e+00,3.460492857436747727e-01,8.600547697031288408e+00,8.171572600807614606e+00,-2.857372677237220842e+02,1.064357625379415140e-01,1.358395001835006610e-01,1.880760683464797189e-01,-3.338543014944078680e-01,-1.784621530717362958e-01,2.658420585316599305e-01,7.556605077172965146e+00,1.944781541824340820e+00,2.570485591888427734e+00,-1.406866055947606775e-01,-9.555164870406536448e-02,-1.848394085701920639e-02,9.101693519711203662e-01,1.797799586782360430e-03
-2.223821327854125229e-01,1.353339735673216637e+00,-4.346079040082409528e-01,6.195233493648608913e+01,0.000000000000000000e+00,4.945439519976844167e-01,7.366578948174719699e+00,7.899367656121826009e+00,-2.869691299092411327e+02,1.277359678711320612e-01,1.487080591691238851e-01,1.890764729653439946e-01,-3.230014205373811231e-01,8.080660085555511074e-01,4.026699568199808010e-01,7.778654039317807189e+00,1.515827894210815430e+00,2.589059352874755859e+00,-1.405715619529767924e-01,-9.523502831342588182e-02,-1.873879752495358555e-02,9.100965205199832431e-01,1.660347868346208474e-03
-1.949094098332579961e-01,1.774035474900301779e+00,-3.816488159231609667e-01,4.115379087904676680e+01,0.000000000000000000e+00,6.108491760292054096e-01,6.128089638619712787e+00,7.626451224024316744e+00,-2.574827076422342884e+02,1.412067695135306167e-01,1.564822825894225389e-01,1.900768775842082703e-01,-3.000558618940385447e-01,9.989524239685092510e-01,5.247332666182130678e-01,7.198934386844484834e+00,-1.035275124013423920e-02,2.606415271759033203e+00,-1.404696791848366322e-01,-9.490233079647875103e-02,-1.899461494365139655e-02,9.100248190074582411e-01,1.525773048654773803e-03
-1.627575160231344853e-01,2.136769832147365378e+00,-3.284969347073060653e-01,3.924347779018024340e+01,0.000000000000000000e+00,7.002808484181741733e-01,4.950605240082950331e+00,7.352822534214638495e+00,-2.575465671321516083e+02,1.481952335906271401e-01,1.600426687589191488e-01,1.910772822030724905e-01,-2.693526645897263982e-01,3.165880241645259829e+00,6.207508765599299982e-01,4.497742898668103173e+00,-1.850447058677673340e+00,2.622701168060302734e+00,-1.403806004113219985e-01,-9.455374549703100817e-02,-1.925118946124360422e-02,9.099540521301683338e-01,1.394200613459196372e-03
-1.250224756039415297e-01,2.465203000511792197e+00,-2.751101050948533411e-01,6.748699627152986125e+01,0.000000000000000000e+00,7.710086649212826160e-01,3.768526086874771863e+00,7.078480693081976582e+00,-2.909151971570220212e+02,1.497091475232252833e-01,1.599835225234045311e-01,1.920776868219367939e-01,-2.337007821580967815e-01,2.284276041336593455e+00,6.833564674655127069e-01,2.611577573911436634e+00,-1.949609160423278809e+00,2.639019966125488281e+00,-1.403021610197827673e-01,-9.419080093994360026e-02,-1.950727543204770417e-02,9.098828176551027047e-01,1.265590619817797162e-03
-8.237004373700074211e-02,2.753846714534574858e+00,-2.214060705233824311e-01,7.088738735343397934e+01,0.000000000000000000e+00,8.231697694606054938e-01,2.597999924861142063e+00,6.803424658001531178e+00,-2.923312336002676375e+02,1.598634837531627828e-01,1.603342669313754243e-01,1.930780914408009863e-01,-1.835175479306735691e-01,3.001405015820107103e+00,7.047523348721282943e-01,5.052556242105110673e-01,-1.143292665481567383e+00,2.655363321304321289e+00,-1.402336854337688787e-01,-9.381396195239029290e-02,-1.976245904070155976e-02,9.098106747290884977e-01,1.140041001485100729e-03
-3.532561078839080437e-02,2.997949982525369705e+00,-1.671999102290016304e-01,7.621198016119318197e+01,0.000000000000000000e+00,8.570206772446908872e-01,1.451687292132191942e+00,6.527653204925176311e+00,-2.938084188237041872e+02,1.667789302476178626e-01,1.641541030294852987e-01,1.940784960596652897e-01,-1.329806565908431548e-01,3.295430663703897700e+00,6.993194550394475906e-01,-8.712030603043886545e-01,-3.359707891941070557e-01,2.671775341033935547e+00,-1.401790118584070322e-01,-9.342043768010434290e-02,-2.001885468202696874e-02,9.097401345363756997e-01,1.017956953157731544e-03
