meas_time,shoulder_des_pos_store,shoulder_meas_pos,shoulder_des_vel_store,shoulder_meas_vel,elbow_des_pos_store,elbow_meas_pos,elbow_des_vel_store,elbow_meas_vel,elbow_des_tau_store,elbow_meas_tau,elbow_cmd_tau,elbow_clipped_tau,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store
8.193719387054443359e-01,6.469062481067715531e-01,4.739824779741352856e-01,-1.381042722899664454e+00,-1.054362836043726270e+00,9.961960286489066618e-01,9.638832508634778140e-01,2.070378526469437652e+00,2.158690718681785636e+00,nan,9.099521487951278687e-02,4.502692511189343438e-04,4.502692511189343438e-04,1.437865728837612878e+00,1.104327882638059366e+00,5.111828280747108266e-01,1.661392195317162646e+00,3.953723821098975577e-02,7.274437324889204692e-01
8.256065845489501953e-01,6.378825093294846482e-01,4.666034830026317692e-01,-1.478820187490107685e+00,-1.197032711598420951e+00,1.008736479203431458e+00,9.769859410088296281e-01,1.909558284413770401e+00,2.052080926458875076e+00,nan,1.567335426807403564e-01,1.842951431128678208e-02,1.842951431128678208e-02,1.443589424011461952e+00,8.550482148604541255e-01,5.050797318238462452e-01,1.663753115088198342e+00,4.591681969823646625e-02,7.290239545372554364e-01
8.318753242492675781e-01,6.283542100980494816e-01,4.597667858623903925e-01,-1.574256684819356877e+00,-1.193886236704762904e+00,1.020105019013179515e+00,9.888742921149433762e-01,1.745959155323761003e+00,1.823091600065717799e+00,nan,1.142400875687599182e-01,-2.343011765075517228e-02,-2.343011765075517228e-02,1.448641077977332881e+00,6.292053633609550056e-01,4.983971213994689009e-01,1.665799301361943208e+00,5.221605188842204370e-02,7.305551696477532442e-01
8.381400108337402344e-01,6.181918539934510015e-01,4.518441808499265022e-01,-1.668694284292094210e+00,-1.323141703269701042e+00,1.030466954313936867e+00,9.997719785044666407e-01,1.577321885941175061e+00,1.715851138007162824e+00,nan,6.747423112392425537e-02,1.296688493589354119e-02,1.296688493589354119e-02,1.451616159354393254e+00,3.927094347374618377e-01,4.910753994162480041e-01,1.667695954974035999e+00,5.849729614014975709e-02,7.320617324161298178e-01
8.444688320159912109e-01,6.074452396435137125e-01,4.436053959855481565e-01,-1.761623107396886212e+00,-1.277437866302900682e+00,1.039760208282981324e+00,1.009599042926859092e+00,1.404510334278200823e+00,1.466675601908774329e+00,nan,9.506138414144515991e-02,-3.458868872761895752e-02,-3.458868872761895752e-02,1.453204438912407026e+00,1.892377356058735915e-01,4.831790607964148165e-01,1.669566820714550204e+00,6.470119055062895086e-02,7.335382025615666546e-01
8.507180213928222656e-01,5.959865368888856985e-01,4.352172376989464908e-01,-1.854046993619906658e+00,-1.365059220085005354e+00,1.048070964548809769e+00,1.018291631933796682e+00,1.225549721819459315e+00,1.317801006261439811e+00,nan,7.172998040914535522e-02,6.243574442703472838e-03,6.243574442703472838e-03,1.453508869632743172e+00,-4.725821382356561184e-02,4.746424201389434216e-01,1.671569883807009660e+00,7.086879101632348466e-02,7.350032458047210948e-01
8.570311069488525391e-01,5.840883481550496192e-01,4.259337554928510627e-01,-1.943790684137233882e+00,-1.483179691801348454e+00,1.055207148814494289e+00,1.025961535873224806e+00,1.044678816083679074e+00,1.142432191777831285e+00,nan,5.277156084775924683e-02,-1.870669388101930952e-02,-1.870669388101930952e-02,1.451895291366075869e+00,-3.407475000235170581e-01,4.656990028741834209e-01,1.673793070661133697e+00,7.682902753817266728e-02,7.364251627030176106e-01
8.633360862731933594e-01,5.714738142058153336e-01,4.166854169207931946e-01,-2.032968558645794843e+00,-1.545849579321905143e+00,1.061341081853660384e+00,1.032417007146657850e+00,8.576681334622167086e-01,9.872487443586401845e-01,nan,8.016378432512283325e-02,-2.525439059906675610e-02,-2.525439059906675610e-02,1.449102424067451045e+00,-5.586008349632648473e-01,4.561714053961001269e-01,1.676424664150559352e+00,8.269623610253162838e-02,7.378402567931006129e-01
8.695993423461914062e-01,5.582774557155842921e-01,4.075727022969211077e-01,-2.120552443996828629e+00,-1.546836820420078418e+00,1.066388835711995497e+00,1.037354507807664916e+00,6.665733654000485231e-01,7.437504071155146557e-01,nan,-1.922056451439857483e-02,-5.345972984597976985e-02,-5.345972984597976985e-02,1.444927210104586468e+00,-8.030864133045638731e-01,4.461910680480318803e-01,1.679577584974609294e+00,8.837573590962577441e-02,7.392350480813718594e-01
8.759007453918457031e-01,5.454531257725154791e-01,3.966678438838995291e-01,-2.195013009230990519e+00,-1.712657378480290760e+00,1.068858092966571860e+00,1.041237396677000326e+00,4.718990095173509758e-01,5.702737893923534029e-01,nan,-8.750783279538154602e-03,-2.713798301481951114e-02,-2.713798301481951114e-02,1.437905240560899633e+00,-1.142383589087937246e+00,4.358162690081819335e-01,1.681408758790112756e+00,9.378118024215442716e-02,7.405651188670641094e-01
8.821730613708496094e-01,5.309805049736209259e-01,3.872319962115833292e-01,-2.277563969732078419e+00,-1.633515331432362494e+00,1.071765388318874912e+00,1.042931198339209775e+00,2.630460441364235180e-01,2.397218785898928561e-01,nan,-5.215570330619812012e-02,-4.796966144318232095e-02,-4.796966144318232095e-02,1.430163194550792660e+00,-1.393793452842469582e+00,4.250611611090704400e-01,1.684771862696393896e+00,9.907856505599088592e-02,7.419080029476508020e-01
