meas_time,shoulder_des_pos_store,shoulder_meas_pos,shoulder_des_vel_store,shoulder_meas_vel,elbow_des_pos_store,elbow_meas_pos,elbow_des_vel_store,elbow_meas_vel,elbow_des_tau_store,elbow_meas_tau,elbow_cmd_tau,elbow_clipped_tau,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,state_machine_flag
2.444075345993041992e+00,-6.025950434199180972e-01,-5.248977671406671597e-01,1.307364677173855627e+00,1.019301471410235749e+00,1.710137243763843351e+00,1.725137227027186748e+00,-2.439116670869852399e+00,-4.178602240424400982e+00,nan,1.124541647732257843e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.616694886449125956e+00,1.019301471410235749e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.447523117065429688e+00,-5.977907567874340966e-01,-5.210108838269698062e-01,1.383580598506098491e+00,9.133043976527467356e-01,1.701646417845120940e+00,1.709413923951359049e+00,-2.471474977369165327e+00,-4.668121126119443964e+00,nan,2.290512062609195709e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.620581769762823310e+00,9.133043976527467356e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.451039791107177734e+00,-5.928002368841881475e-01,-5.171504195539977644e-01,1.457995866418989150e+00,1.225450246648598807e+00,1.693088501207129282e+00,1.692060766288402629e+00,-2.504205141153570846e+00,-5.034629433301567758e+00,nan,1.068811193108558655e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.624442234035795352e+00,1.225450246648598807e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.454487085342407227e+00,-5.874855635925252395e-01,-5.130582570319996982e-01,1.532582065528391935e+00,1.091222733229888275e+00,1.684231667197160665e+00,1.674771462073770145e+00,-2.538195934396029863e+00,-4.894585526127854358e+00,nan,1.030348539352416992e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.628534396557793418e+00,1.091222733229888275e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.457959175109863281e+00,-5.820511196467220705e-01,-5.098088589501794665e-01,1.604470885690542081e+00,1.287179391239436477e+00,1.675416516987225490e+00,1.658361125854539875e+00,-2.572140196546520041e+00,-4.693352039122530961e+00,nan,1.001460552215576172e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.631783794639613649e+00,1.287179391239436477e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.461462259292602539e+00,-5.763365593145517440e-01,-5.046791416159632782e-01,1.675841053653937207e+00,1.187041604775258108e+00,1.666379780502151409e+00,1.642030559632336129e+00,-2.607050160921507320e+00,-4.814469110100403348e+00,nan,1.136697411537170410e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.636913511973829838e+00,1.187041604775258108e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.464921236038208008e+00,-5.703847076236674418e-01,-5.011506866901358492e-01,1.746081561698147100e+00,1.231251010976954996e+00,1.657193376220893688e+00,1.624980939915810607e+00,-2.642650077617143101e+00,-4.755172288789784041e+00,nan,1.091848969459533691e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.640441966899657267e+00,1.231251010976954996e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.468402862548828125e+00,-5.642664142705904329e-01,-4.957049686480976547e-01,1.814399002377918402e+00,1.403296543718253853e+00,1.647964302967274808e+00,1.609784942735818625e+00,-2.678524100710665934e+00,-4.394970305457076343e+00,nan,1.303280830383300781e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.645887684941695461e+00,1.403296543718253853e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.471872091293334961e+00,-5.578814999544173814e-01,-4.913001680400990168e-01,1.881925579940148419e+00,1.498108008002273950e+00,1.638540697281456016e+00,1.593949849312045419e+00,-2.715262144497923469e+00,-4.623960006357261676e+00,nan,1.366445302963256836e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.650292485549694099e+00,1.498108008002273950e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.475342273712158203e+00,-5.512985503070902960e-01,-4.849768307283279789e-01,1.947919106681841983e+00,1.480065091616987072e+00,1.629024713315100348e+00,1.577715156889084369e+00,-2.752466452104127992e+00,-4.622065749808158763e+00,nan,1.473434448242187500e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.656615822861465137e+00,1.480065091616987072e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.478762388229370117e+00,-5.444930438394088856e-01,-4.803837463556592802e-01,2.012646024444762816e+00,1.636652572127029970e+00,1.619379767904056244e+00,1.562631043683794685e+00,-2.790279435623438165e+00,-4.306654807059220325e+00,nan,1.284093856811523438e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.661208907234133836e+00,1.636652572127029970e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.482214927673339844e+00,-5.375662114829163896e-01,-4.737734672985682849e-01,2.075215165370964066e+00,1.615327176540165999e+00,1.609745380460046116e+00,1.547770604801152361e+00,-2.828151926979201924e+00,-4.312333082622189728e+00,nan,1.434333682060241699e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.667819186291224831e+00,1.615327176540165999e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.485684633255004883e+00,-5.303547155587262640e-01,-4.689118385838169090e-01,2.137125811005817333e+00,1.592423192217157668e+00,1.599893052304311336e+00,1.533357608190562660e+00,-2.866981406523578801e+00,-4.103531183082105294e+00,nan,1.467774868011474609e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.672680815005976207e+00,1.592423192217157668e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.489153385162353516e+00,-5.228565563507944214e-01,-4.618877696128094179e-01,2.198309598470394199e+00,1.728277564166770253e+00,1.589824764916309530e+00,1.520334781668994273e+00,-2.906762768212447501e+00,-3.694759008743128792e+00,nan,1.311825394630432129e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.679704883976983698e+00,1.728277564166770253e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.492665529251098633e+00,-5.151980537950442418e-01,-4.565859558665859019e-01,2.257733234965035862e+00,1.810305322586191812e+00,1.579710276747072761e+00,1.507631503269316164e+00,-2.946825351883338051e+00,-3.624736306142215092e+00,nan,1.304065823554992676e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.685006697723207214e+00,1.810305322586191812e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
